"NearFut.avg_C.Diffs.10","NearFut.avg_C.mean.10","NearFut.avg_C.Diffs.90","NearFut.avg_C.mean.90","NearFut.avg_C.Diffs.Med","NearFut.avg_C.mean.med ","avg_C_rollmean.10","avg_C_rollmean.90","avg_C_rollmean.med"
NA,NA,NA,NA,NA,NA,18.76,21.7583333333333,20.21
NA,NA,NA,NA,NA,NA,18.46,21.3416666666667,20.1333333333333
NA,NA,NA,NA,NA,NA,18.13,21.1533333333333,19.94
NA,NA,NA,NA,NA,NA,17.8566666666667,20.9366666666667,19.8016666666667
NA,NA,NA,NA,NA,NA,17.78,20.77,19.65
NA,NA,NA,NA,NA,NA,17.38,20.5216666666667,19.47
NA,NA,NA,NA,NA,NA,17.3366666666667,20.335,19.13
NA,NA,NA,NA,NA,NA,17.2466666666667,20.155,18.8966666666667
NA,NA,NA,NA,NA,NA,16.9316666666667,19.7816666666667,18.6433333333333
NA,NA,NA,NA,NA,NA,16.7116666666667,19.69,18.4033333333333
NA,NA,NA,NA,NA,NA,16.6083333333333,19.78,18.185
NA,NA,NA,NA,NA,NA,16.2583333333333,19.7733333333333,17.9016666666667
NA,NA,NA,NA,NA,NA,15.9983333333333,19.5,17.6983333333333
NA,NA,NA,NA,NA,NA,15.7566666666667,19.23,17.4183333333333
NA,NA,NA,NA,NA,NA,15.4566666666667,19.0433333333333,17.3116666666667
NA,NA,NA,NA,NA,NA,15.2433333333333,18.8583333333333,17.095
NA,NA,NA,NA,NA,NA,15.065,18.6166666666667,16.8683333333333
NA,NA,NA,NA,NA,NA,14.8616666666667,18.3566666666667,16.6066666666667
NA,NA,NA,NA,NA,NA,14.7116666666667,18.1683333333333,16.5933333333333
NA,NA,NA,NA,NA,NA,14.5516666666667,18.0416666666667,16.37
NA,NA,NA,NA,NA,NA,14.2483333333333,17.8216666666667,16.245
NA,NA,NA,NA,NA,NA,13.89,17.5516666666667,16.0966666666667
NA,NA,NA,NA,NA,NA,13.635,17.3566666666667,15.7333333333333
NA,NA,NA,NA,NA,NA,13.3583333333333,17.4983333333333,15.4033333333333
NA,NA,NA,NA,NA,NA,13.045,17.5283333333333,15.39
NA,NA,NA,NA,NA,NA,12.6866666666667,17.3366666666667,15.31
NA,NA,NA,NA,NA,NA,12.5316666666667,17.1183333333333,14.9766666666667
NA,NA,NA,NA,NA,NA,12.5983333333333,16.6816666666667,14.8883333333333
NA,NA,NA,NA,NA,NA,12.435,16.3883333333333,14.76
NA,NA,NA,NA,NA,NA,12.4516666666667,16.405,14.4766666666667
NA,NA,NA,NA,NA,NA,12.4916666666667,16.1933333333333,14.41
NA,NA,NA,NA,NA,NA,12.3433333333333,16.2416666666667,14.07
NA,NA,NA,NA,NA,NA,12.0333333333333,16.3466666666667,13.7366666666667
NA,NA,NA,NA,NA,NA,11.7933333333333,15.8083333333333,13.4916666666667
NA,NA,NA,NA,NA,NA,11.7583333333333,15.7683333333333,13.295
NA,NA,NA,NA,NA,NA,11.7466666666667,15.6516666666667,13.34
NA,NA,NA,NA,NA,NA,11.6833333333333,15.3966666666667,13.3133333333333
NA,NA,NA,NA,NA,NA,11.3383333333333,15.06,13.2633333333333
NA,NA,NA,NA,NA,NA,11.1666666666667,14.6333333333333,13.1733333333333
NA,NA,NA,NA,NA,NA,11.2333333333333,14.5033333333333,12.9016666666667
NA,NA,NA,NA,NA,NA,11.1116666666667,14.34,12.7833333333333
NA,NA,NA,NA,NA,NA,10.8666666666667,14.3016666666667,12.415
NA,NA,NA,NA,NA,NA,10.7033333333333,14.355,12.3933333333333
NA,NA,NA,NA,NA,NA,10.4983333333333,14.36,12.0733333333333
NA,NA,NA,NA,NA,NA,10.4833333333333,14.225,11.8166666666667
NA,NA,NA,NA,NA,NA,10.47,13.82,11.57
NA,NA,NA,NA,NA,NA,10.4133333333333,13.5583333333333,11.4966666666667
NA,NA,NA,NA,NA,NA,10.305,13.4433333333333,11.3516666666667
NA,NA,NA,NA,NA,NA,10.0516666666667,13.3666666666667,11.2516666666667
NA,NA,NA,NA,NA,NA,10.0033333333333,13.365,11.1633333333333
NA,NA,NA,NA,NA,NA,9.98666666666667,13.1183333333333,11.1283333333333
NA,NA,NA,NA,NA,NA,9.75833333333333,13.0083333333333,11.06
NA,NA,NA,NA,NA,NA,9.44666666666667,12.9466666666667,10.9116666666667
NA,NA,NA,NA,NA,NA,9.18666666666667,12.5933333333333,10.8083333333333
NA,NA,NA,NA,NA,NA,8.99,12.3916666666667,10.4233333333333
NA,NA,NA,NA,NA,NA,8.91333333333333,12.2833333333333,10.5833333333333
NA,NA,NA,NA,NA,NA,8.67833333333333,12.1733333333333,10.455
NA,NA,NA,NA,NA,NA,8.53666666666667,12.14,10.3566666666667
NA,NA,NA,NA,NA,NA,8.675,11.95,10.3783333333333
NA,NA,NA,NA,NA,NA,8.57666666666667,11.62,10.275
