"NearFut.ppt.Diffs.10","NearFut.ppt.sum.10","NearFut.ppt.Diffs.90","NearFut.ppt.sum.90","ppt_rollsum.10","ppt_rollsum.90","ppt_rollsum.med","NearFut.ppt.Diffs.Med","NearFut.ppt.sum.med ","NearFut.SWP.Deep.Diffs.10","NearFut.SWP.Deep.mean.10","NearFut.SWP.Deep.Diffs.90","NearFut.SWP.Deep.mean.90","SWP.Deep_rollmean.10","SWP.Deep_rollmean.90","SWP.Deep_rollmean.med","NearFut.SWP.Deep.Diffs.Med","NearFut.SWP.Deep.mean.med","NearFut.SWP.Intermediate.Diffs.10","NearFut.SWP.Intermediate.Diffs.90","SWP.Intermediate_rollmean.10","SWP.Intermediate_rollmean.90","SWP.Intermediate_rollmean.med","NearFut.SWP.Intermediate.Diffs.Med","NearFut.SWP.Intermediate.mean.10","NearFut.SWP.Intermediate.mean.90","NearFut.SWP.Intermediate.mean.med","NearFut.SWP.Shallow.Diffs.10","NearFut.SWP.Shallow.mean.10","NearFut.SWP.Shallow.Diffs.90","NearFut.SWP.Shallow.mean.90","SWP.Shallow_rollmean.10","SWP.Shallow_rollmean.90","SWP.Shallow_rollmean.med","NearFut.SWP.Shallow.Diffs.Med","NearFut.SWP.Shallow.mean.med","NearFut.avg_C.Diffs.10","NearFut.avg_C.mean.10","NearFut.avg_C.Diffs.90","NearFut.avg_C.mean.90","NearFut.avg_C.Diffs.Med","NearFut.avg_C.mean.med ","avg_C_rollmean.10","avg_C_rollmean.90","avg_C_rollmean.med","NearFut.VWC.Deep.Diffs.10","NearFut.VWC.Deep.mean.10","NearFut.VWC.Deep.Diffs.90","NearFut.VWC.Deep.mean.90","VWC.Deep_rollmean.10","VWC.Deep_rollmean.90","VWC.Deep_rollmean.med","NearFut.VWC.Deep.Diffs.Med","NearFut.VWC.Deep.mean.med","NearFut.VWC.Intermediate.Diffs.10","NearFut.VWC.Intermediate.mean.10","NearFut.VWC.Intermediate.Diffs.90","NearFut.VWC.Intermediate.mean.90","VWC.Intermediate_rollmean.10","VWC.Intermediate_rollmean.90","VWC.Intermediate_rollmean.med","NearFut.VWC.Intermediate.Diffs.Med","NearFut.VWC.Intermediate.mean.med","NearFut.VWC.Shallow.Diffs.10","NearFut.VWC.Shallow.mean.10","NearFut.VWC.Shallow.Diffs.90","NearFut.VWC.Shallow.mean.90","VWC.Shallow_rollmean.10","VWC.Shallow_rollmean.90","VWC.Shallow_rollmean.med","NearFut.VWC.Shallow.Diffs.Med","NearFut.VWC.Shallow.mean.med"
-1.82641786666667,0.9582488,4.0692792,6.85394586666667,0.884,7.553,2.81,-0.268384000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6813660918173,2.84265571594857,-3.87051638401927,-0.211823969543468,-3.38106877319796,-0.116459082673911,-3.87824143291418,-0.354219625148308,-3.31333442377079,-1.82074740604897,-4.00697052170634,1.82279092828655,-0.363432187370821,-3.99247797960373,-0.303406162443379,-2.28681555512947,-0.286780917034529,-2.4730040326919,-1.10280517562724,24.6941912401434,2.05170808602151,27.8487045017921,0.612964000000002,NA,24.4616666666667,27.5933333333333,25.935,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.003500540662246,0.0466208102569096,0.0402721685331631,0.0903935194523188,0.0466459217824939,0.10250928896076,0.0483866525618008,-0.000863700990007099,0.0492576499291485,-0.00845665710185717,0.0462099880591291,0.0340663579831931,0.0887330031441794,0.0462553841763967,0.092997963697225,0.0537957585146915,-0.0018828728317292,0.0527837723292571
-1.7986898,0.9258102,4.1055258,6.8300258,0.884,7.512,2.83,-0.261726000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.76876533989302,2.76245257993948,-3.87490035518879,-0.202293661965552,-3.37972835902332,-0.12462832579987,-3.87654617044322,-0.345328250610722,-3.23240915635007,-1.85604505858605,-4.0067031948698,1.79171844406055,-0.358939692223199,-3.99444632497718,-0.29478818267728,-2.31395972063675,-0.290227655214841,-2.44088579149859,-1.08290109677419,24.5455101935484,2.03695212903226,27.6653634193548,0.612086000000001,NA,24.331,27.5423333333333,25.7425,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00435067012115563,0.0466263732626104,0.0406131090458541,0.0915901524296201,0.0466316139568036,0.103796170604491,0.048391852445801,-0.00110454979192576,0.0498724935918402,-0.0087965736241744,0.0462108244610882,0.0341052665660456,0.0891126646513082,0.0462492060233745,0.0937270301185552,0.0536240040777203,-0.00198269450404215,0.0530247035812204
-1.77096173333333,0.8933716,4.1417724,6.80610573333334,0.884,7.512,3.035,-0.255068000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.85616458796874,2.68224944393039,-3.87855063586182,-0.185881353691508,-3.37804214947283,-0.132797568925828,-3.87485090797227,-0.336436876073135,-3.15148388892936,-1.89134271112313,-4.00643586803326,1.76064595983455,-0.354447197075577,-3.99629787907225,-0.289805336920212,-2.27088796595838,-0.293674393395153,-2.40876755030528,-1.06299701792115,24.3968291469534,2.02219617204301,27.4820223369176,0.611208000000001,NA,24.1935,27.5126666666667,25.5541666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00520079958006526,0.0466319362683111,0.0409540495585451,0.0927867854069214,0.0466197163417699,0.106203717447911,0.0483983975016859,-0.00134539859384442,0.050487337254532,-0.00913649014649163,0.0462116608630473,0.0341441751488982,0.0894923261584371,0.0462433979803598,0.0941610464250241,0.0538977511414214,-0.00208251617635509,0.0532656348331838
-1.74323366666667,0.860933,4.178019,6.78218566666667,0.636,7.531,3.06,-0.248410000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.94356383604446,2.6020463079213,-3.8821365187482,-0.170088315122656,-3.37607539337936,-0.140966812051787,-3.87315564550131,-0.327545501535549,-3.07055862150864,-1.92664036366022,-4.00616854119673,1.72957347560856,-0.349954701927954,-4.00115650332125,-0.282154090698126,-2.23224927435827,-0.297121131575465,-2.37664930911198,-1.0430929390681,24.2481481003584,2.00744021505376,27.2986812544803,0.610330000000001,NA,23.9368333333333,27.4446666666667,25.4225,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00605092903897489,0.0466374992740119,0.041294990071236,0.0939834183842228,0.0466080424723456,0.10879024336874,0.0484060367528025,-0.00158624739576307,0.0511021809172237,-0.00947640666880886,0.0462124972650063,0.0341830837317508,0.089871987665566,0.0462281734654729,0.0948462872821942,0.0541489990451596,-0.00218233784866804,0.0535065660851472
-1.7155056,0.8284944,4.2142656,6.7582656,0.884,7.204,3.28,-0.241752000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.03096308412018,2.52184317191221,-3.86742252649393,-0.155782149667228,-3.24117386896248,-0.149136055177746,-3.87146038303036,-0.318654126997962,-2.98963335408792,-1.9619380161973,-4.00590121436019,1.69850099138256,-0.345462206780332,-3.99266585616241,-0.283391968158269,-2.13826525788676,-0.300567869755777,-2.34453106791867,-1.02318886021505,24.0994670537634,1.99268425806452,27.115340172043,0.609452000000001,NA,23.7631666666667,27.2743333333333,25.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00690105849788452,0.0466430622797126,0.041635930583927,0.0951800513615241,0.0466560315089454,0.111411633254347,0.0489439405464836,-0.00182709619768173,0.0517170245799154,-0.00981632319112609,0.0462133336669654,0.0342219923146034,0.0902516491726949,0.0462547943108831,0.0947338328064068,0.0547839149789046,-0.00228215952098098,0.0537474973371105
-1.68777753333333,0.7960558,4.2505122,6.73434553333334,0.884,7.204,3.46,-0.235094000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.1183623321959,2.44164003590313,-3.87365245688042,-0.143789759712768,-3.21554861054005,-0.157305298303704,-3.8697651205594,-0.309762752460376,-2.90870808666721,-1.99723566873438,-4.00563388752365,1.66742850715656,-0.34096971163271,-3.99465942685291,-0.278772590743979,-2.06453875264179,-0.304014607936089,-2.31241282672536,-1.00328478136201,23.9507860071685,1.97792830107527,26.9319990896057,0.608574000000001,NA,23.615,27.0393333333333,25.0266666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00775118795679415,0.0466486252854134,0.0419768710966179,0.0963766843388255,0.0466356845868474,0.113856716006024,0.0490493375263038,-0.00206794499960039,0.0523318682426071,-0.0101562397134433,0.0462141700689245,0.0342609008974559,0.0906313106798238,0.0462485373810338,0.0951567019464503,0.0553073372984718,-0.00238198119329393,0.0539884285890739
-1.66004946666667,0.7636172,4.2867588,6.71042546666667,1.108,7.357,3.59,-0.228436000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.20576158027162,2.36143689989404,-3.84492440550101,-0.133249720106495,-2.86584382131014,-0.165474541429663,-3.86806985808845,-0.300871377922789,-2.82778281924649,-2.03253332127146,-4.00536656068711,1.63635602293056,-0.336477216485087,-3.61450944966937,-0.270956337600869,-2.04341731285718,-0.307461346116401,-2.28029458553205,-0.983380702508961,23.8021049605735,1.96317234408602,26.7486580071685,0.607696000000001,NA,23.5406666666667,26.8235,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00860131741570378,0.0466541882911141,0.0423178116093089,0.0975733173161268,0.0467298585951866,0.116230056959471,0.0506038984316054,-0.00230879380151905,0.0529467119052989,-0.0104961562357606,0.0462150064708836,0.0342998094803085,0.0910109721869526,0.0475190508179265,0.0958929038287905,0.0554616825318616,-0.00248180286560687,0.0542293598410372
-1.6323214,0.7311786,4.3230054,6.6865054,1.108,6.413,3.59,-0.221778000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.29316082834734,2.28123376388495,-3.851816367974,-0.123329357821648,-2.59127089135424,-0.173643784555622,-3.86637459561749,-0.291980003385203,-2.74685755182577,-2.06783097380854,-4.00509923385057,1.60528353870457,-0.331984721337465,-3.61513685596866,-0.284851259711301,-1.6685690235866,-0.310908084296713,-2.24817634433875,-0.963476623655914,23.6534239139785,1.94841638709677,26.5653169247312,0.606818000000001,NA,23.4976666666667,26.6831666666667,24.8541666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0094514468746134,0.0466597512968149,0.0426587521219998,0.0987699502934281,0.0467071845570765,0.118692724011752,0.0520040962401049,-0.00254964260343771,0.0535615555679906,-0.0108360727580778,0.0462158428728426,0.0343387180631611,0.0913906336940815,0.0475168157383106,0.094602063191229,0.0585928702149304,-0.00258162453791982,0.0544702910930006
-1.60459333333333,0.69874,4.359252,6.66258533333334,1.082,6.45,3.445,-0.215120000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.38056007642306,2.20103062787586,-3.85847003680209,-0.114035781247511,-2.2866199456876,-0.181813027681581,-3.86467933314654,-0.283088628847616,-2.66593228440505,-2.10312862634562,-4.00483190701404,1.57421105447857,-0.327492226189843,-3.61575843533231,-0.310092554136898,-1.46833568243004,-0.314354822477025,-2.21605810314544,-0.943572544802868,23.5047428673835,1.93366043010753,26.3819758422939,0.60594,NA,23.5151666666667,26.4811666666667,24.6925,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.010301576333523,0.0466653143025157,0.0429996926346908,0.0999665832707295,0.0466853433550985,0.121239755853906,0.0537970056223734,-0.00279049140535637,0.0541763992306823,-0.011175989280395,0.0462166792748017,0.0343776266460137,0.0917702952012104,0.047514601902758,0.09245020375473,0.0606583404821898,-0.00268144621023277,0.054711222344964
-1.57686526666667,0.6663014,4.3954986,6.63866526666667,0.639,6.426,3.18,-0.208462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.46795932449878,2.12082749186677,-3.86427269354499,-0.114183602695933,-1.94485795779724,-0.189982270807539,-3.86298407067558,-0.27419725431003,-2.58500701698434,-2.13842627888271,-4.0045645801775,1.54313857025257,-0.32299973104222,-3.94492339730179,-0.339168740791392,-1.35252638433581,-0.317801560657337,-2.18393986195213,-0.923668465949821,23.3560618207885,1.91890447311828,26.1986347598566,0.605062,NA,23.3958333333333,26.3575,24.6133333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0111517057924327,0.0466708773082164,0.0433406331473817,0.101163216248031,0.0466663347104516,0.121197200183433,0.0562096973114299,-0.00303134020727502,0.0547912428933741,-0.0115159058027122,0.0462175156767608,0.0344165352288662,0.0921499567083393,0.0464058335837045,0.0902317193515822,0.0620240033907076,-0.00278126788254571,0.0549521535969273
-1.5491372,0.6338628,4.4317452,6.6147452,0.639,6.714,2.995,-0.201804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.5553585725745,2.04062435585768,-3.86944721589207,-0.11496729048845,-1.82185153049381,-0.198151513933498,-3.86128880820462,-0.265305879772443,-2.50408174956362,-2.17372393141979,-4.00429725334096,1.51206608602657,-0.318507235894598,-4.03540435194304,-0.369776566553921,-1.2353894644114,-0.321248298837649,-2.15182162075882,-0.903764387096775,23.2073807741935,1.90414851612903,26.0152936774194,0.604184,NA,23.3866666666667,26.0373333333333,24.4791666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0120018352513423,0.0466764403139172,0.0436815736600727,0.102359849225332,0.0466494143165956,0.12097275153976,0.0572138170832514,-0.00327218900919368,0.0554060865560658,-0.0118558223250295,0.0462183520787199,0.0344554438117188,0.0925296182154682,0.0461215200946635,0.0881434904922256,0.0635655111096687,-0.00288108955485866,0.0551930848488907
-1.52140913333333,0.6014242,4.4679918,6.59082513333334,0.335,6.447,2.84,-0.195146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.64275782065022,1.96042121984859,-3.87378501177049,-0.115885965278859,-1.65356801996707,-0.206320757059457,-3.85959354573367,-0.256414505234857,-2.4231564821429,-2.20902158395687,-4.00402992650442,1.48099360180058,-0.314014740746976,-3.92800363243322,-0.375012259206192,-1.05709609111464,-0.324695037017961,-2.11970337956551,-0.883860308243728,23.0586997275986,1.88939255913979,25.8319525949821,0.603306,NA,23.3406666666667,25.8385,24.4066666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0128519647102519,0.0466820033196179,0.0440225141727636,0.103556482202633,0.0466352521151942,0.120712105582363,0.0587364474831361,-0.00351303781111234,0.0560209302187575,-0.0121957388473467,0.046219188480679,0.0344943523945714,0.092909279722597,0.0464599199665195,0.0878082820859847,0.0663079438975923,-0.0029809112271716,0.055434016100854
-1.49368106666667,0.5689856,4.5042384,6.56690506666667,0.269,6.429,2.84,-0.188488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.73015706872594,1.8802180838395,-3.8500098066496,-0.116567721973465,-1.47543011513314,-0.214490000185415,-3.85789828326271,-0.24752313069727,-2.34223121472219,-2.24431923649395,-4.00376259966788,1.44992111757458,-0.309522245599353,-3.62228571534756,-0.383496548631036,-0.923628085655753,-0.328141775198273,-2.08758513837221,-0.863956229390682,22.9100186810036,1.87463660215054,25.6486115125448,0.602428,NA,23.155,25.7213333333333,24.2216666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0137020941691616,0.0466875663253187,0.0443634546854546,0.104753115179935,0.0467131230183662,0.120520369639954,0.060579158603767,-0.003753886613031,0.0566357738814492,-0.0125356553696639,0.046220024882638,0.034533260977424,0.0932889412297259,0.0474913833190505,0.0872775245062767,0.0687782336856405,-0.00308073289948455,0.0556749473528174
-1.465953,0.536547,4.540485,6.542985,0.235,6.834,2.675,-0.18183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.81755631680166,1.80001494783041,-3.85605200188834,-0.116847769121355,-1.32054935316268,-0.222659243311374,-3.85620302079176,-0.238631756159684,-2.26130594730147,-2.27961688903103,-4.00349527283134,1.41884863334858,-0.305029750451731,-3.62231687952893,-0.377927380640996,-0.845307256268657,-0.331588513378585,-2.0554668971789,-0.844052150537635,22.7613376344086,1.85988064516129,25.4652704301075,0.60155,NA,23.0181666666667,25.5186666666667,24.0408333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0145522236280712,0.0466931293310194,0.0447043951981456,0.105949748157236,0.0466932752076984,0.120442022243169,0.0624274813248131,-0.00399473541494966,0.057250617544141,-0.0128755718919812,0.0462208612845971,0.0345721695602765,0.0936686027368548,0.0474912725906315,0.0876242124420907,0.0704498202278842,-0.00318055457179749,0.0559158786047808
-1.43822493333333,0.5041084,4.5767316,6.51906493333334,0.181,7.038,2.45,-0.175172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.90495556487738,1.71981181182132,-3.86132715885663,-0.120528226143947,-1.18543050315563,-0.230828486437333,-3.8545077583208,-0.229740381622098,-2.18038067988075,-2.31491454156811,-4.00322794599481,1.38777614912258,-0.300537255304109,-3.62234844545555,-0.375861951733383,-0.795925661087872,-0.335035251558897,-2.02334865598559,-0.824148071684589,22.6126565878136,1.84512468817204,25.2819293476702,0.600671999999999,NA,22.7615,25.2385,23.8708333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0154023530869808,0.0466986923367202,0.0450453357108365,0.107146381134538,0.0466759793088429,0.11943402875852,0.064280615181695,-0.00423558421686832,0.0578654612068327,-0.0132154884142984,0.0462216976865562,0.0346110781431291,0.0940482642439837,0.0474911604360191,0.0877544426219101,0.0716084818575783,-0.00328037624411044,0.0561568098567441
-1.41049686666667,0.4716698,4.6129782,6.49514486666667,0.181,5.967,2.31,-0.168514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.9923548129531,1.63960867581223,-3.86591737060919,-0.124547880421364,-1.06717834148854,-0.238997729563291,-3.85281249584985,-0.220849007084511,-2.09945541246004,-2.35021219410519,-4.00296061915827,1.35670366489659,-0.296044760156487,-3.62238007217003,-0.374272381526454,-0.801172525554723,-0.338481989739209,-1.99123041479228,-0.804243992831542,22.4639755412186,1.8303687311828,25.098588265233,0.599793999999999,NA,22.524,25.0588333333333,23.7133333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0162524825458904,0.046704255342421,0.0453862762235275,0.108343014111839,0.0466609535895347,0.118376896673835,0.0661375865700199,-0.00447643301878697,0.0584803048695244,-0.0135554049366156,0.0462225340885153,0.0346499867259817,0.0944279257511125,0.0474910480666715,0.0878552897391142,0.0714810871792446,-0.00338019791642338,0.0563977411087075
