"YEAR","MN","LEAD","CD","ForecastedMEAN","ClimatologicalMEAN","ForecastedSD","ClimatologicalSD","PO","2.","10.","30.","50.","70.","90.","98."
2020,5,9,6,9.12,8.64,0.09,0.09,0.27,12.92,11.34,9.92,9.01,8.17,7.06,6.05
2020,5,10,6,11.45,11.15,0.46,0.46,0.58,16.26,14.34,12.55,11.36,10.24,8.69,7.23
2020,5,11,6,13.09,12.18,2.7793,2.81,0.97,19.48,17.07,14.7,13.06,11.45,9.12,6.77
2020,5,12,6,13.65,12.83,2.5512,2.56,0.95,19.98,17.59,15.24,13.62,12.03,9.73,7.43
2020,5,13,6,12.34,11.76,0.3283,0.33,0.5,17.41,15.37,13.47,12.23,11.06,9.46,7.97
2020,5,1,7,12.47,11.92,0.7715,0.78,0.67,18.18,15.92,13.79,12.37,11.02,9.14,7.37
2020,5,2,7,12.73,12,0.3039,0.31,0.42,19.93,16.91,14.21,12.49,10.93,8.85,7.01
2020,5,3,7,11.98,11.26,0.1635,0.17,0.32,18.35,15.65,13.27,11.76,10.4,8.61,7.02
2020,5,4,7,11.4,11.4,2.1,2.1,0.86,18.74,15.94,13.24,11.4,9.64,7.14,4.73
2020,5,5,7,10.4,10.4,0.59,0.59,0.52,18.78,15.37,12.33,10.4,8.66,6.4,4.44
2020,5,6,7,9.88,9.88,0.25,0.25,0.4,15.78,13.38,11.24,9.88,8.65,7.02,5.57
2020,5,7,7,9.35,9.35,0.26,0.26,0.41,15,12.7,10.65,9.35,8.16,6.6,5.21
2020,5,8,7,9.83,9.83,0.15,0.15,0.29,16.36,13.64,11.29,9.83,8.53,6.86,5.42
2020,5,9,7,9.9,9.9,0.32,0.32,0.43,16.51,13.82,11.42,9.9,8.53,6.73,5.15
2020,5,10,7,11.82,11.82,0.26,0.26,0.39,19.04,16.1,13.48,11.82,10.32,8.34,6.6
2020,5,11,7,12.06,11.14,0.2614,0.27,0.39,19.09,16.12,13.49,11.82,10.31,8.33,6.58
2020,5,12,7,13.21,12.18,0.3493,0.35,0.43,21.3,17.89,14.86,12.93,11.18,8.89,6.87
2020,5,13,7,12.7,11.92,0.78,0.78,0.67,18.52,16.22,14.05,12.6,11.23,9.32,7.51
2020,5,1,8,12.28,12.06,1.1282,1.14,0.8,17.2,15.3,13.47,12.23,11.03,9.33,7.66
2020,5,2,8,12.12,11.64,0.128,0.14,0.27,18.96,16.02,13.46,11.85,10.42,8.56,6.94
2020,5,3,8,10.81,10.58,0.3239,0.33,0.47,16.25,14.01,11.97,10.65,9.44,7.8,6.31
2020,5,4,8,10.48,10.48,0.9,0.9,0.72,15.77,13.72,11.79,10.48,9.25,7.53,5.89
2020,5,5,8,9.85,9.85,0.75,0.75,0.67,15.14,13.07,11.14,9.85,8.64,6.96,5.39
2020,5,6,8,9.44,9.44,2.37,2.37,1.05,13.56,12.03,10.51,9.44,8.39,6.84,5.25
2020,5,7,8,8.35,8.35,1.26,1.26,0.89,12.11,10.69,9.3,8.35,7.42,6.1,4.78
2020,5,8,8,8.64,8.51,0.641,0.65,0.68,12.7,11.09,9.58,8.57,7.61,6.28,5.02
2020,5,9,8,9.24,9.13,0.9407,0.95,0.77,13.58,11.89,10.27,9.18,8.14,6.67,5.25
2020,5,10,8,10.92,10.82,0.6019,0.62,0.68,14.99,13.39,11.88,10.86,9.89,8.52,7.2
2020,5,11,8,11.93,11.27,0.1905,0.2,0.37,17.47,15.17,13.1,11.76,10.54,8.9,7.42
2020,5,12,8,12.74,12.16,1.04,1.04,0.74,18.55,16.28,14.11,12.65,11.26,9.3,7.42
2020,5,13,8,12.56,12.06,1.14,1.14,0.8,17.55,15.63,13.77,12.51,11.29,9.56,7.87
2020,5,1,9,13.06,12.68,2.6224,2.69,1.04,17.71,15.98,14.26,13.05,11.87,10.13,8.35
2020,5,2,9,12.19,11.69,0.109,0.12,0.29,17.21,15.12,13.24,12.04,10.93,9.45,8.1
2020,5,3,9,10.29,9.89,0.3112,0.32,0.46,15.64,13.43,11.43,10.14,8.95,7.35,5.91
2020,5,4,9,9.91,9.91,0.85,0.85,0.64,16.83,14.09,11.56,9.91,8.38,6.31,4.44
2020,5,5,9,9.87,9.87,2.64,2.64,1,15.31,13.28,11.27,9.87,8.5,6.49,4.46
2020,5,6,9,10.16,10.16,1.63,1.63,0.94,14.31,12.75,11.22,10.16,9.13,7.63,6.13
2020,5,7,9,9.58,9.58,0.2,0.2,0.38,14.63,12.59,10.75,9.58,8.51,7.08,5.8
2020,5,8,9,10.3,9.97,0.15,0.15,0.31,15.89,13.51,11.42,10.1,8.91,7.35,5.98
2020,5,9,9,10.66,10.52,2.3392,2.38,1.03,15,13.38,11.78,10.66,9.56,7.94,6.29
2020,5,10,9,12.21,12.16,1.84,1.84,0.97,16.43,14.84,13.28,12.2,11.13,9.59,8.03
2020,5,11,9,13.46,12.42,0.6635,0.67,0.61,20.01,17.38,14.94,13.32,11.8,9.72,7.77
2020,5,12,9,14.8,13.82,2.17,2.17,0.9,21.38,18.87,16.43,14.75,13.12,10.77,8.44
2020,5,13,9,13.29,12.68,2.6522,2.69,1.04,17.99,16.24,14.5,13.28,12.09,10.33,8.53
2020,5,1,10,14.41,13.42,0.8198,0.82,0.64,21.7,18.79,16.07,14.26,12.57,10.23,8.05
2020,5,2,10,14.55,13.23,0.1815,0.19,0.3,23.84,19.81,16.33,14.17,12.26,9.79,7.68
2020,5,3,10,13.69,12.43,0.1852,0.19,0.3,22.82,18.84,15.42,13.31,11.45,9.06,7.02
2020,5,4,10,11.07,11.07,0.49,0.49,0.44,21.91,17.37,13.47,11.07,8.97,6.33,4.18
