YEAR,MN,LEAD,CD,ForecastedMEAN,ClimatologicalMEAN,ForecastedSD,ClimatologicalSD,PO,Modifier,ForecastedSD_in,Prediction_in,Anom_CF,Anom_in,Anom_cm
2020,5,7,97,3.86,3.42,0.2306,0.24,0.25,-0.717713779166694,0.0028277252628496,2.33512863759694,0.682786151344135,-1.08487136240306,-2.75557326050377
2020,5,8,97,3.86,3.68,0.2296,0.23,0.28,-0.717713779166694,0.00522103647885012,2.516413492975,0.683808014395381,-1.163586507025,-2.95550972784349
2020,5,9,97,3.28,3.27,0.4,0.4,0.51,-0.717713779166694,0.165853817864204,2.34853252742966,0.718205665880629,-0.921467472570343,-2.34052738032867
2020,5,10,97,2.54,2.49,0.3578,0.36,0.48,-0.717713779166694,0.117512491374991,1.74818989791748,0.702084296352401,-0.741810102082522,-1.88419765928961
2020,5,11,97,1.43,1.43,0.2,0.2,0.29,-0.717713779166694,0.00388828961794826,0.886776987625748,0.620123767570453,-0.543223012374252,-1.3797864514306
2020,5,12,97,2.76,2.76,0.36,0.36,0.54,-0.717713779166694,0.150777995168525,2.04565284988141,0.741178568797614,-0.714347150118587,-1.81444176130121
2020,5,13,97,4.72,4.72,0.3,0.3,0.49,-0.717713779166694,0.0856841553301825,3.80113075268182,0.805324312008861,-0.918869247318177,-2.33392788818817
2020,5,1,97,4.72,4.72,0.3,0.3,0.49,-0.944053519515366,0.0856841553301825,3.53235255799813,0.748379779236893,-1.18764744200187,-3.01662450268474
2020,5,2,97,5.89,5.89,0.48,0.48,0.61,-0.944053519515366,0.300223477732874,4.48088869371332,0.760762087217882,-1.40911130628668,-3.57914271796816
2020,5,3,97,5.22,5.2,0.5051,0.51,0.68,-0.944053519515366,0.36626063819515,4.07473840941377,0.783603540271879,-1.12526159058623,-2.85816444008902
2020,5,4,97,3.72,3.66,0.2998,0.3,0.4,-0.944053519515366,0.0492129128664663,2.35345834542551,0.643021405853966,-1.30654165457449,-3.31861580261919
2020,5,5,97,3.74,3.33,0.2481,0.25,0.28,-0.944053519515366,0.00688577344581892,1.99043115049711,0.597727072221355,-1.33956884950289,-3.40250487773733
2020,5,6,97,3.3,3.3,0.24,0.24,0.27,-0.944053519515366,0.00506391118905434,1.69872678137416,0.514765691325503,-1.60127321862584,-4.06723397530963
2020,5,7,97,3.86,3.42,0.2306,0.24,0.25,-0.944053519515366,0.0028277252628496,1.96503188443602,0.574570726443282,-1.45496811556398,-3.6956190135325
2020,5,8,97,3.86,3.68,0.2296,0.23,0.28,-0.944053519515366,0.00522103647885012,2.17394359507457,0.590745542139829,-1.50605640492543,-3.82538326851059
2020,5,9,97,3.28,3.27,0.4,0.4,0.51,-0.944053519515366,0.165853817864204,2.08639133133684,0.638040162488331,-1.18360866866316,-3.00636601840442
2020,5,10,97,2.54,2.49,0.3578,0.36,0.48,-0.944053519515366,0.117512491374991,1.53016215669335,0.614522954495323,-0.959837843306646,-2.43798812199888
2020,5,11,97,1.43,1.43,0.2,0.2,0.29,-0.944053519515366,0.00388828961794826,0.751484811505984,0.525513854199989,-0.678515188494016,-1.7234285787748
2020,5,12,97,2.76,2.76,0.36,0.36,0.54,-0.944053519515366,0.150777995168525,1.84088599278218,0.666987678544267,-0.919114007217823,-2.33454957833327
2020,5,13,97,4.72,4.72,0.3,0.3,0.49,-0.944053519515366,0.0856841553301825,3.53235255799813,0.748379779236893,-1.18764744200187,-3.01662450268474
2020,5,1,97,4.72,4.72,0.3,0.3,0.49,-0.192557837655478,0.0856841553301825,4.4635207210699,0.9456611697182,-0.256479278930097,-0.651457368482447
2020,5,2,97,5.89,5.89,0.48,0.48,0.61,-0.192557837655478,0.300223477732874,5.59047810177656,0.949147385700604,-0.29952189822344,-0.760785621487538
2020,5,3,97,5.22,5.2,0.5051,0.51,0.68,-0.192557837655478,0.36626063819515,4.97910771274056,0.957520713988568,-0.220892287259446,-0.561066409638992
2020,5,4,97,3.72,3.66,0.2998,0.3,0.4,-0.192557837655478,0.0492129128664663,3.41064214963957,0.931869439792233,-0.249357850360427,-0.633368939915484
2020,5,5,97,3.74,3.33,0.2481,0.25,0.28,-0.192557837655478,0.00688577344581892,3.31734301649463,0.996199104052441,-0.0126569835053725,-0.0321487381036461
2020,5,6,97,3.3,3.3,0.24,0.24,0.27,-0.192557837655478,0.00506391118905434,2.90898045104025,0.881509227587955,-0.391019548959749,-0.993189654357763
2020,5,7,97,3.86,3.42,0.2306,0.24,0.25,-0.192557837655478,0.0028277252628496,3.39362942715997,0.992289306187125,-0.0263705728400323,-0.0669812550136821
2020,5,8,97,3.86,3.68,0.2296,0.23,0.28,-0.192557837655478,0.00522103647885012,3.45844520358606,0.939794892278821,-0.221554796413938,-0.562749182891402
2020,5,9,97,3.28,3.27,0.4,0.4,0.51,-0.192557837655478,0.165853817864204,3.01517047452905,0.922070481507356,-0.254829525470946,-0.647266994696202
2020,5,10,97,2.54,2.49,0.3578,0.36,0.48,-0.192557837655478,0.117512491374991,2.31249001975261,0.928710851306271,-0.177509980247387,-0.450875349828362
2020,5,11,97,1.43,1.43,0.2,0.2,0.29,-0.192557837655478,0.00388828961794826,1.2659625869216,0.8852885223228,-0.164037413078397,-0.416655029219128
2020,5,12,97,2.76,2.76,0.36,0.36,0.54,-0.192557837655478,0.150777995168525,2.55872130150444,0.927072935327695,-0.201278698495563,-0.511247894178729
2020,5,13,97,4.72,4.72,0.3,0.3,0.49,-0.192557837655478,0.0856841553301825,4.4635207210699,0.9456611697182,-0.256479278930097,-0.651457368482447
2020,5,1,97,4.72,4.72,0.3,0.3,0.49,-0.969693898530535,0.0856841553301825,3.50253826118298,0.742063190928598,-1.21746173881702,-3.09235281659522
2020,5,2,97,5.89,5.89,0.48,0.48,0.61,-0.969693898530535,0.300223477732874,4.44473251726718,0.754623517362849,-1.44526748273282,-3.67097940614136
2020,5,3,97,5.22,5.2,0.5051,0.51,0.68,-0.969693898530535,0.36626063819515,4.04491790862229,0.777868828581209,-1.15508209137771,-2.93390851209939
2020,5,4,97,3.72,3.66,0.2998,0.3,0.4,-0.969693898530535,0.0492129128664663,2.3214738123255,0.634282462384016,-1.3385261876745,-3.39985651669324
2020,5,5,97,3.74,3.33,0.2481,0.25,0.28,-0.969693898530535,0.00688577344581892,1.9533883400549,0.586603105121591,-1.3766116599451,-3.49659361626056
2020,5,6,97,3.3,3.3,0.24,0.24,0.27,-0.969693898530535,0.00506391118905434,1.66541260631978,0.504670486763571,-1.63458739368022,-4.15185197994775
2020,5,7,97,3.86,3.42,0.2306,0.24,0.25,-0.969693898530535,0.0028277252628496,1.92607211814919,0.563178981914969,-1.49392788185081,-3.79457681990105
2020,5,8,97,3.86,3.68,0.2296,0.23,0.28,-0.969693898530535,0.00522103647885012,2.13739162888159,0.580812942630866,-1.54260837111841,-3.91822526264077
2020,5,9,97,3.28,3.27,0.4,0.4,0.51,-0.969693898530535,0.165853817864204,2.05765409331136,0.629252016303167,-1.21234590668864,-3.07935860298915
2020,5,10,97,2.54,2.49,0.3578,0.36,0.48,-0.969693898530535,0.117512491374991,1.50641430992914,0.604985666638208,-0.983585690070863,-2.49830765277999
2020,5,11,97,1.43,1.43,0.2,0.2,0.29,-0.969693898530535,0.00388828961794826,0.737146570394745,0.515487112164157,-0.692853429605255,-1.75984771119735
2020,5,12,97,2.76,2.76,0.36,0.36,0.54,-0.969693898530535,0.150777995168525,1.81831683688328,0.658810448146116,-0.941683163116719,-2.39187523431647
2020,5,13,97,4.72,4.72,0.3,0.3,0.49,-0.969693898530535,0.0856841553301825,3.50253826118298,0.742063190928598,-1.21746173881702,-3.09235281659522
2020,5,1,97,4.72,4.72,0.3,0.3,0.49,-0.570971125490317,0.0856841553301825,3.98076121567032,0.843381613489474,-0.739238784329684,-1.8776665121974
2020,5,2,97,5.89,5.89,0.48,0.48,0.61,-0.570971125490317,0.300223477732874,5.01979397594044,0.852257041755592,-0.870206024059565,-2.21032330111129
2020,5,3,97,5.22,5.2,0.5051,0.51,0.68,-0.570971125490317,0.36626063819515,4.51647166531593,0.868552243329986,-0.683528334684074,-1.73616197009755
2020,5,4,97,3.72,3.66,0.2998,0.3,0.4,-0.570971125490317,0.0492129128664663,2.84896466483916,0.778405646130917,-0.811035335160844,-2.06002975130854
2020,5,5,97,3.74,3.33,0.2481,0.25,0.28,-0.570971125490317,0.00688577344581892,2.58848647977187,0.77732326719876,-0.741513520228128,-1.88344434137945
