Date,avg_C.med,avg_C.10,avg_C.90,ppt.med,ppt.10,ppt.90,VWC.Deep.med,VWC.Deep.10,VWC.Deep.90,VWC.Intermediate.med,VWC.Intermediate.10,VWC.Intermediate.90,VWC.Shallow.med,VWC.Shallow.10,VWC.Shallow.90,ppt_rollsum.med,ppt_rollsum.10,ppt_rollsum.90,avgC_rollmean.med,avgC_rollmean.10,avgC_rollmean.90,VWC.Shallow_rollmean.med,VWC.Shallow_rollmean.10,VWC.Shallow_rollmean.90,VWC.Intermediate_rollmean.med,VWC.Intermediate_rollmean.10,VWC.Intermediate_rollmean.90,VWC.Deep_rollmean.med,VWC.Deep_rollmean.10,VWC.Deep_rollmean.90,SWP.Shallow.med,SWP.Shallow.10,SWP.Shallow.90,SWP.Shallow_rollmean.med,SWP.Shallow_rollmean.10,SWP.Shallow_rollmean.90,SWP.Intermediate.med,SWP.Intermediate.10,SWP.Intermediate.90,SWP.Intermediate_rollmean.med,SWP.Intermediate_rollmean.10,SWP.Intermediate_rollmean.90,SWP.Deep.med,SWP.Deep.10,SWP.Deep.90,SWP.Deep_rollmean.med,SWP.Deep_rollmean.10,SWP.Deep_rollmean.90
09-23,15.420525,9.761705,21.9391,0,0,0.00267000000000004,0.103350354284329,0.102208595783377,0.104998992336187,0.0985554304070661,0.0971831602815402,0.103598552917042,0.0859947456150884,0.0798171678755831,0.107755901814126,0.8374,0.06416,2.80525,15.7723433333333,13.2247033333333,17.2957156666667,0.0861852636096846,0.0804536212020758,0.108933470824748,0.0985520770081881,0.0971488642175732,0.103666298348999,0.103359312220854,0.102209701625836,0.104905780189338,-9.44184374725068,-14.0219811631188,-2.85318853057726,-9.33164444974209,-13.443456159862,-2.69332900758829,-4.58094374994158,-4.93469113560116,-3.51543444029289,-4.58177072343435,-4.94393986205347,-3.50326429041011,-3.5604535532322,-3.77658750661442,-3.27373259881939,-3.55881685706911,-3.77637074819953,-3.28919341152486
09-24,16.67995,9.186385,21.9961,0,0,0.0369800000000001,0.103340724880701,0.102206355232077,0.105036021668219,0.0985249411560684,0.09710238238124,0.103542533968594,0.0859535365663527,0.0798633706190609,0.10733025169395,0.8827,0.06416,2.79942,15.6395216666667,12.991046,17.1113708333333,0.0861698023948157,0.0804404121203023,0.110030390141232,0.0985201771177322,0.0970951577749146,0.103965151273252,0.103349818406951,0.10220745368489,0.105017615733525,-9.46588290379586,-13.9790004030993,-2.91373016424275,-9.34053031703375,-13.4551713184527,-2.55391065865469,-4.5884691606556,-4.95650766759358,-3.52553595081233,-4.58964635583,-4.95846447166578,-3.45017083042187,-3.56221393032312,-3.77702672693456,-3.2676146386168,-3.56055149124022,-3.77681138716893,-3.27065395412361
09-25,16.71615,9.93352,20.87716,0,0,0.24708,0.103331546372478,0.102204213530432,0.105019526229415,0.0984946368594061,0.0970216352592463,0.103495249936231,0.0859104596352156,0.0799070616670698,0.108115605291387,0.77565,0.20461,2.79942,15.3413175,12.9340873333333,16.8776536666667,0.0861547821116026,0.0804591975660519,0.111135124822908,0.098488221520958,0.097041383299062,0.104260003819194,0.103340647517814,0.102205261235153,0.105127810390692,-9.49108948634767,-13.9385001553581,-2.80318942764899,-9.34917240402118,-13.4385141119628,-2.4220826391597,-4.59596348445275,-4.97843055029442,-3.53408921174527,-4.59755187805105,-4.9730583200067,-3.3987226982679,-3.56389284101447,-3.7774466262871,-3.27033832357374,-3.56222807742798,-3.77724120767528,-3.25250786431049
09-26,15.24025,9.988135,20.170895,0,0,0.11178,0.103323029554987,0.102202209637398,0.105585000438996,0.0984643695906039,0.0969409679109885,0.105009116786185,0.0858653550948618,0.0799452074563151,0.111701760510232,0.894,0.20461,2.77395,15.2579491666667,12.879512,16.628211,0.0861247754723474,0.080436221968003,0.11223774703728,0.0984561459157983,0.0969876023928413,0.104552760317994,0.103331797384847,0.102203121511151,0.105182418981277,-9.51756807352318,-13.9032541777471,-2.35760980259044,-9.36646553031798,-13.4588901068059,-2.29849331484936,-4.60346317676126,-5.00044694366739,-3.27205849304226,-4.60550336970449,-4.98770500056511,-3.34853991086072,-3.56545155808201,-3.77783955729677,-3.17848755110099,-3.56384691392827,-3.77766074758117,-3.24355965314686
09-27,15.57375,9.637505,20.381705,0,0,0.11882,0.103314839829013,0.102200287136635,0.105669172138293,0.0984343529169753,0.0968603624519657,0.106282022499957,0.0858177647902898,0.0799783176144967,0.110844260041063,0.86085,0.20461,2.60331,14.9373725,12.6132436666667,16.3495263333333,0.0864852425127445,0.0804764796173498,0.113216679628151,0.0984239632018866,0.0969338044889156,0.104844269327354,0.103332594667595,0.102201031649569,0.105219601601073,-9.54560117036283,-13.8727468729376,-2.45599089731252,-9.16121285870306,-13.4232116181872,-2.19500532518703,-4.61091514510137,-5.0225621264611,-3.06945330344601,-4.61349784525508,-5.00240763205931,-3.29944356505924,-3.56695117625682,-3.77821657425725,-3.16507908587165,-3.56370104182384,-3.77807056432676,-3.23748361815627
09-28,17.3762,8.201835,20.848775,0,0,0.07593,0.103306905271111,0.102198371007525,0.105648997689645,0.0984044458300156,0.0967829894872312,0.106279338047769,0.0857727569384187,0.0800062923247369,0.110346213107059,0.8176,0.20461,2.85873,14.5880833333333,12.3133991666667,16.2296018333333,0.0869370554736512,0.0805428964684629,0.113298247117686,0.098391637745399,0.0968800362284069,0.105134833873415,0.103375725686027,0.102198990506248,0.105258804992875,-9.57220340541825,-13.8470332992114,-2.51537151967649,-8.91144616647509,-13.3645948305826,-2.18663500879811,-4.61835417020322,-5.04389985891438,-3.06986462063921,-4.62154438783977,-5.01715365790455,-3.25135534773756,-3.56840478569663,-3.77859238618475,-3.16828671951008,-3.55582028788639,-3.77847087854733,-3.23109201197861
09-29,17.162425,9.29819,20.43892,0,0,0.24811,0.103299277523925,0.102196463927258,0.105590274530228,0.0983746016226021,0.0967462661889774,0.106185455935806,0.0857266292535087,0.0799081184098368,0.109920962318572,0.8176,0.2425,2.8905,14.2529633333333,12.1264653333333,16.0031113333333,0.0869567388525797,0.0805164643399236,0.113151054472848,0.0983592424003518,0.0968272050151771,0.105424310235471,0.103446752972704,0.102196997319431,0.105299004901262,-9.59955900453304,-13.9375223161446,-2.56742730569821,-8.90075024064732,-13.3878862262999,-2.20176732084649,-4.62579177823794,-5.05406501744526,-3.08429072101945,-4.62962506663415,-5.03169304317989,-3.20427328300936,-3.56980285125205,-3.77896646746952,-3.17764541375151,-3.54288751322254,-3.77886183606622,-3.22455350444167
09-30,16.83005,8.596045,20.816625,0,0,0.00847000000000012,0.103291745045235,0.102194581494538,0.105530616305749,0.0983446851689169,0.0967133637185857,0.106059433406145,0.0856784943177566,0.0796828581810147,0.109507350951432,0.8176,0.17842,2.8905,13.75998,12.0362431666667,15.6561043333333,0.0874157708140636,0.0803654491077879,0.112965794341637,0.0984081796397627,0.0967774197245182,0.105600798094883,0.103537341675706,0.10219504923719,0.105340072604042,-9.62820411083904,-14.1478195026513,-2.61929105325976,-8.6555860936895,-13.521886438652,-2.22099048840271,-4.63326168289299,-5.06319324094689,-3.10378245137365,-4.61742465148255,-5.04544002763662,-3.17596586220698,-3.57118409424722,-3.77933575720767,-3.18718679276406,-3.52647398698967,-3.7792439929189,-3.21789008227333
10-01,16.393225,8.949255,21.28325,0,0,0.05364,0.103284617915593,0.102192722167791,0.105470912025705,0.0983146895838456,0.0966805138619704,0.105934203018611,0.0858100798212951,0.0794597456946241,0.109105669327352,0.92825,0.09693,2.8905,13.39712,11.6015081666667,15.6114395,0.0878913045203189,0.0801123482328887,0.112764123098553,0.0983741786955806,0.0967308887892417,0.105707855069184,0.103548517762101,0.102193140104268,0.105380999737334,-9.55013720338408,-14.3598394075804,-2.67085494892017,-8.41002465243877,-13.7500627128195,-2.24214373597942,-4.6407657438989,-5.07232642169354,-3.12329685636806,-4.62589728002143,-5.05832877545448,-3.15893948725556,-3.57249159258467,-3.77970055619324,-3.19676964636198,-3.5244552904386,-3.77961855361761,-3.21126574325973
10-02,13.092075,9.191805,19.52995,0,0,0.0864800000000002,0.103277826721188,0.102190888738,0.105411951427181,0.0982847657557633,0.0966477797995036,0.105811500602429,0.0857755517422329,0.0792383542097166,0.108718310389644,0.88545,0.06678,2.71669,13.3072391666667,11.3308796666667,15.6238023333333,0.0879373251293304,0.0798599407060421,0.111067532041024,0.0983402289952787,0.0966871100395966,0.10575725972507,0.10354054716211,0.102191267622689,0.105401088573496,-9.57054895157733,-14.5739669328106,-2.7217268061251,-8.3867022893982,-13.9821857429765,-2.42991254355084,-4.64826625048238,-5.08144689187962,-3.14255892700437,-4.63437558100508,-5.07049092938062,-3.15111875014672,-3.57373799174143,-3.78006031518898,-3.20626676024415,-3.52589485091855,-3.77998596639635,-3.20802015708271
