Date,avg_C.mean.med,avg_C.mean.10,avg_C.mean.90,ppt.mean.med,ppt.mean.10,ppt.mean.90,VWC.Deep.mean.med,VWC.Deep.mean.10,VWC.Deep.mean.90,VWC.Intermediate.mean.med,VWC.Intermediate.mean.10,VWC.Intermediate.mean.90,VWC.Shallow.mean.med,VWC.Shallow.mean.10,VWC.Shallow.mean.90,ppt_rollsum.med,ppt_rollsum.10,ppt_rollsum.90,avgC_rollmean.med,avgC_rollmean.10,avgC_rollmean.90,VWC.Shallow_rollmean.med,VWC.Shallow_rollmean.10,VWC.Shallow_rollmean.90,VWC.Intermediate_rollmean.med,VWC.Intermediate_rollmean.10,VWC.Intermediate_rollmean.90,VWC.Deep_rollmean.med,VWC.Deep_rollmean.10,VWC.Deep_rollmean.90,SWP.Shallow.mean.med,SWP.Shallow.mean.10,SWP.Shallow.mean.90,SWP.Shallow_rollmean.med,SWP.Shallow_rollmean.10,SWP.Shallow_rollmean.90,SWP.Intermediate.mean.med,SWP.Intermediate.mean.10,SWP.Intermediate.mean.90,SWP.Intermediate_rollmean.med,SWP.Intermediate_rollmean.10,SWP.Intermediate_rollmean.90,SWP.Deep.mean.med,SWP.Deep.mean.10,SWP.Deep.mean.90,SWP.Deep_rollmean.med,SWP.Deep_rollmean.10,SWP.Deep_rollmean.90,Time
2021-06-20,19.43381,15.191203,26.020398,0,0,0.088666,0.106155639602812,0.103794775652417,0.124527551777763,0.101617143241517,0.10042188326927,0.116218626877168,0.0965935170775945,0.0917441799822864,0.113834894295225,1.46771,0.244576,2.750056,20.2861938333333,18.3502182,22.1823098666667,0.097990880460134,0.0923771734467277,0.113518376132867,0.102196354434171,0.100495367261449,0.118024082982144,0.106293714758665,0.103844078029127,0.124995690453329,-5.09660871861295,-6.69809431034519,-2.13250118626918,-4.72270043142059,-6.45817414954302,-2.16423438338502,-3.89466840589398,-4.14696972994827,-1.91048012347673,-3.7789879463047,-4.13090847740732,-1.76045977677349,-3.08888920229256,-3.48032118896274,-1.32448520759277,-3.06766255566894,-3.47156435705548,-1.29838095844503,Future
2021-06-21,20.06421,14.938127,26.955695,0,0,0.0496040000000001,0.105985515028719,0.103734996993808,0.123518487768608,0.101520952654756,0.100384278455761,0.115190960478947,0.0964279456269962,0.0916075205013179,0.112755703954381,1.2724,0.166582,2.67145,20.2641863333333,18.7602845333333,22.0891842,0.0976644977473049,0.0922217893878941,0.112718640851242,0.102034085031001,0.100452997350354,0.11707874936276,0.106169460549148,0.103789857968856,0.124186908898658,-5.14320533900395,-6.75127327694933,-2.24303201225871,-4.80703206666691,-6.51610944093541,-2.24694739548402,-3.91428477038624,-4.15521764511901,-2.00265304233077,-3.81097977040656,-4.14016014273504,-1.83719027598646,-3.11528342380206,-3.49097400163841,-1.38290467432628,-3.08675662786983,-3.48119608141269,-1.34387264316328,Future
2021-06-22,20.883485,14.803828,26.832001,0,0,0.00276800000000004,0.105854863838696,0.103684245858757,0.122428462381794,0.101453850575981,0.100349514485001,0.114109596732407,0.0962463525998956,0.0914976399245882,0.111716498961754,1.2724,0.153534,2.63113,20.4181833333333,18.9526296333333,22.1598145,0.0971722243417216,0.0920688856616303,0.111998708150656,0.101887773273292,0.10041215503653,0.116174805971748,0.106051520298151,0.103739272730599,0.1234713879955,-5.19489432289728,-6.79439586154207,-2.35596024102385,-4.93763802975635,-6.57372390270168,-2.32463776231638,-3.9280385971574,-4.16285982254288,-2.10540771134193,-3.84010180042437,-4.14910156935629,-1.91430616710457,-3.13573559121117,-3.50004849877594,-1.44948664456296,-3.10501123837328,-3.49021076143806,-1.38570550413493,Future
2021-06-23,22.681125,17.281308,26.077683,0,0,0.088324,0.105765766669152,0.103638574152784,0.121410958567359,0.101391265082884,0.100307961743794,0.11309612828053,0.095928246516348,0.091390343458293,0.109714966086596,1.1804,0.153534,2.713124,20.5658225,19.0934089,22.4180513333333,0.0969131953304629,0.0919180274295304,0.111246136139267,0.101773664929887,0.100372780078762,0.115298609806887,0.105925433885875,0.103690939060896,0.122715888239208,-5.28693668734018,-6.83682057300134,-2.59310359182655,-5.00805362859895,-6.63116192502631,-2.40928812380191,-3.94091846222074,-4.17201630574689,-2.20744593779733,-3.86299772881638,-4.15774349098679,-1.99275371748592,-3.14977442777735,-3.50823874990149,-1.51510324498652,-3.12466878788976,-3.49885012515112,-1.43156675861403,Future
2021-06-24,22.72519,16.017597,27.748863,0,0,0.211744,0.105646841121003,0.103596081956992,0.120593313960715,0.101283197748582,0.10026059271443,0.112412984073079,0.0957272540638506,0.0912861712644487,0.109148969167705,1.1856,0.153534,2.838758,20.6111991666667,19.3469786,22.5959397333333,0.0966437966565938,0.0917678548399492,0.110469164494718,0.101677520738291,0.100334682361642,0.114452687400509,0.105799999824433,0.103644294826299,0.121961567992985,-5.34609237797216,-6.87831150572995,-2.66523889194863,-5.0825580176318,-6.68893226842942,-2.50055522947375,-3.96327668779597,-4.18248366843164,-2.27954891490079,-3.88241516613665,-4.16612545734306,-2.07214156801825,-3.16862983136004,-3.51587928567013,-1.57040109440736,-3.14437156879863,-3.50721162160528,-1.47916735431973,Future
2021-06-25,22.09731,16.409576,26.744037,0,0,0.2036,0.10552368175187,0.103560667027595,0.119835175185726,0.101181033702725,0.100214749838493,0.111853884007671,0.0960260348387726,0.0912273320267033,0.106594576881599,0.94951,0.139618,2.744032,20.7335778333333,19.4675535,23.0473642666667,0.0963903632381556,0.0916172357127187,0.10966040372604,0.1015489373703,0.100288688275783,0.113639001867475,0.105680954616581,0.103599447225477,0.121194571671656,-5.25843729845141,-6.9018789362799,-3.02200769143994,-5.1538525167409,-6.74747622081296,-2.59995553413548,-3.98455232996276,-4.19264352285065,-2.34064959273906,-3.90856569652281,-4.17627149574001,-2.15207504414862,-3.18829807130729,-3.52226236982887,-1.62382989449619,-3.16320751769794,-3.51527345499676,-1.52950928286807,Future
2021-06-26,22.64532,17.356219,26.55659,0,0,0.12275,0.105439287709188,0.103520545005045,0.119111971843501,0.101118822047644,0.10016982506309,0.111191738654069,0.0957368045446415,0.0911216754689274,0.105107540782569,0.94951,0.139618,2.737088,20.9462265,19.5773108,23.4512297,0.0961319111273924,0.0913882354296387,0.10888493562789,0.101410151255836,0.100228784193887,0.112863290073093,0.105576325229189,0.103556468506071,0.120446093520718,-5.34326375607072,-6.94443989973402,-3.25583672406309,-5.2277863672364,-6.83765722981427,-2.69970401202682,-3.99757439371978,-4.20262837374523,-2.41554759678928,-3.93702647617979,-4.18953006895889,-2.23171235424241,-3.20185938870115,-3.52951049484641,-1.67682156829124,-3.17987333707892,-3.52302001200752,-1.58061081901685,Future
2021-06-27,22.39578,18.131391,26.930381,0,0,0.214178,0.105288043332576,0.103477823271695,0.11837528390307,0.101030860692145,0.100126866828371,0.110480340303068,0.0953367077317974,0.0910178518611142,0.104115044164254,0.97617,0.12564,2.711058,21.2699736666667,19.8219758,23.7151422333333,0.0959732521330884,0.0911642863473413,0.108084074384126,0.101276376917008,0.100175185588621,0.11212719526374,0.105484000561141,0.103515303301168,0.119626420325803,-5.46330223258185,-6.98656670456702,-3.42390157637858,-5.27379752628981,-6.92723780138522,-2.80753038288125,-4.01607277431039,-4.21220259046688,-2.49921363512894,-3.96469291166328,-4.20143547504276,-2.31054104123545,-3.22633484089316,-3.53724775854648,-1.73292808745575,-3.1946659396178,-3.53045872797838,-1.63891911452818,Future
2021-06-28,24.09701,18.444932,26.432905,0,0,0.261214,0.105193017502418,0.103434871674765,0.117621074298026,0.100955346775274,0.100087294657517,0.109814172597593,0.0946856861433001,0.0908654164751727,0.108463122097065,0.87498,0.097146,2.473914,21.4131441666667,19.9716041,23.9328010333333,0.0956129077799851,0.0909440906845478,0.107519915283195,0.101158778865222,0.100126372260171,0.111428507119417,0.105395712673127,0.103475730412455,0.11882877314077,-5.66554834719656,-7.04896959194664,-2.75587031119368,-5.38009758216639,-7.01668017155299,-2.88656697010704,-4.03203464860294,-4.22104509260068,-2.58070014074126,-3.98920488407513,-4.21231296705476,-2.38844304080292,-3.24182636227688,-3.54504698254583,-1.79269599060729,-3.20888831439086,-3.5376273105557,-1.69813090471658,Future
2021-06-29,23.645125,16.946268,27.182899,0,0,0.3148,0.105124308829989,0.103397957582968,0.116991405707792,0.100897753516559,0.100052179119582,0.109332263978706,0.0948253034216501,0.0907555041938951,0.10814760818361,0.77711,0.097146,2.52684,21.4756238333333,20.0837173,24.2053884,0.0953174526258391,0.0907506522017896,0.107039657696714,0.101059519784546,0.10008193100565,0.110764556459886,0.105311038939857,0.103437959696544,0.118065692983527,-5.62143541522168,-7.09437592699844,-2.79879164748031,-5.46915960643726,-7.09638835289316,-2.9559400996163,-4.04425921346303,-4.22891022888126,-2.64162018000862,-4.01003458027553,-4.22224531128958,-2.46538081638986,-3.25308263337791,-3.55176624111335,-1.84447838500505,-3.22259922953471,-3.5444855728814,-1.75717083603303,Future
