Year,run,Prob
2019,1_2010,0.468192139006631
2020,1_2010,0.618002239127082
2018,2_1981,0.479372825941326
2019,2_1981,0.44542178808264
2020,2_1981,0.595018307696111
2018,2_1982,0.479371044556208
2019,2_1982,0.444619340566405
2020,2_1982,0.512360747593398
2018,2_1983,0.479371044556208
2019,2_1983,0.459288789842422
2020,2_1983,0.604577172614741
2018,2_1984,0.479372825941326
2019,2_1984,0.449406879353082
2020,2_1984,0.545005825022244
2018,2_1985,0.479371044556208
2019,2_1985,0.459323182704574
2020,2_1985,0.417501542947515
2018,2_1986,0.479372825941326
2019,2_1986,0.441101871690875
2020,2_1986,0.42686372928941
2018,2_1987,0.479372825941326
2019,2_1987,0.458076036924307
2020,2_1987,0.426182988369326
2018,2_1988,0.479372825941326
2019,2_1988,0.444026350462394
2020,2_1988,0.577817804766366
2018,2_1989,0.479372825941326
2019,2_1989,0.472899248903335
2020,2_1989,0.391699175808766
2018,2_1990,0.479372825941326
2019,2_1990,0.456435914507504
2020,2_1990,0.476344373656304
2018,2_1991,0.479372825941326
2019,2_1991,0.435034433638686
2020,2_1991,0.335538214527792
2018,2_1992,0.479371044556208
2019,2_1992,0.459257354301801
2020,2_1992,0.650694839777754
2018,2_1993,0.479372825941326
2019,2_1993,0.470781205910436
2020,2_1993,0.365472665720912
2018,2_1994,0.479371044556208
2019,2_1994,0.449829021081995
2020,2_1994,0.479223798588336
2018,2_1995,0.479372211287341
2019,2_1995,0.451530118908341
2020,2_1995,0.495393516519888
2018,2_1996,0.479371044556208
2019,2_1996,0.455502423354792
2020,2_1996,0.418658544354666
2018,2_1997,0.479372825941326
2019,2_1997,0.444333353115563
2020,2_1997,0.430352707925702
2018,2_1998,0.479371044556208
2019,2_1998,0.435153421971981
2020,2_1998,0.48163907081016
2018,2_1999,0.479372825941326
2019,2_1999,0.458895974784919
2020,2_1999,0.408697169550972
2018,2_2000,0.479372825941326
2019,2_2000,0.465871712714212
2020,2_2000,0.46978939523435
2018,2_2001,0.479371044556208
2019,2_2001,0.441151725930039
2020,2_2001,0.448797961960946
2018,2_2002,0.479371044556208
2019,2_2002,0.455736747818445
2020,2_2002,0.373777270768656
2018,2_2003,0.479371044556208
2019,2_2003,0.436758813155159
2020,2_2003,0.414038701814633
2018,2_2004,0.479372825941326
2019,2_2004,0.462310622325155
2020,2_2004,0.450795496882417
2018,2_2005,0.479371044556208
2019,2_2005,0.452210450955635
2020,2_2005,0.433566965918102
2018,2_2006,0.479372211287341
2019,2_2006,0.449684404661295
2020,2_2006,0.349277761730478
2018,2_2007,0.479371044556208
2019,2_2007,0.446839382665763
2020,2_2007,0.522768414219215
2018,2_2008,0.479371044556208
2019,2_2008,0.461191779481957
2020,2_2008,0.445288830091163
2018,2_2009,0.479372211287341
2019,2_2009,0.447623863882785
2020,2_2009,0.505854502519352
2018,2_2010,0.479371044556208
2019,2_2010,0.464239026469449
2020,2_2010,0.625087926645224
2018,3_1981,0.479372825941326
2019,3_1981,0.456912124019903
2020,3_1981,0.607930004756991
2018,3_1982,0.479371044556208
2019,3_1982,0.456106029576294
2020,3_1982,0.5325519898274
2018,3_1983,0.479371044556208
2019,3_1983,0.470833187202979
2020,3_1983,0.622237764697359
2018,3_1984,0.479372825941326
2019,3_1984,0.460914563248136
2020,3_1984,0.554803730357033
2018,3_1985,0.479371044556208
2019,3_1985,0.470867662927572
2020,3_1985,0.430602421700736
2018,3_1986,0.479372825941326
2019,3_1986,0.452571695771972
2020,3_1986,0.445063406886535
2018,3_1987,0.479372825941326
2019,3_1987,0.469616397469416
2020,3_1987,0.434933481476519
2018,3_1988,0.479372825941326
2019,3_1988,0.455510270274445
2020,3_1988,0.596265785527233
2018,3_1989,0.479372825941326
2019,3_1989,0.484479252703119
2020,3_1989,0.407425878146472
2018,3_1990,0.479372825941326
2019,3_1990,0.467970665154288
2020,3_1990,0.489288461817922
2018,3_1991,0.479372825941326
2019,3_1991,0.446472535740733
2020,3_1991,0.355522627280161
2018,3_1992,0.479371044556208
2019,3_1992,0.470801606300972
2020,3_1992,0.678180587660741
2018,3_1993,0.479372825941326
2019,3_1993,0.482356778182866
2020,3_1993,0.381854024303655
2018,3_1994,0.479371044556208
2019,3_1994,0.461338514724074
2020,3_1994,0.492159320995543
2018,3_1995,0.479372211287341
2019,3_1995,0.46304650510996
2020,3_1995,0.509044504663756
2018,3_1996,0.479372825941326
2019,3_1996,0.467034045017094
2020,3_1996,0.43899226857774
2018,3_1997,0.479372825941326
2019,3_1997,0.45581873195002
2020,3_1997,0.437332688679905
2018,3_1998,0.479371044556208
2019,3_1998,0.446592208135408
2020,3_1998,0.499706678806945
